Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
31303285;Histerectomia puerperal;13/02/2009;;15/10/2010
31303293;Implante de dispositivo intra-uterino (DIU) hormonal;09/09/2010;;15/10/2010
31303307;Retirada de DIU por histeroscopia;10/10/2012;;31/08/2014
31303315;Curetagem uterina pós-parto;10/10/2012;;31/08/2014
31303323;Histerectomia pós-parto;10/10/2012;;31/08/2014
31304010;Esterilização tubária;13/02/2009;09/04/2017;15/10/2010
31304010;Cirurgia de esterilização feminina (laqueadura tubárica convencional);10/04/2017;;09/07/2017
31304028;Neossalpingostomia distal;13/02/2009;;15/10/2010
31304036;Recanalização tubária (qualquer técnica), uni ou bilateral (com microscópio ou lupa);13/02/2009;;15/10/2010
31304044;Salpingectomia uni ou bilateral;13/02/2009;;15/10/2010
31304052;Laqueadura tubária laparoscópica;13/02/2009;09/04/2017;15/10/2010
31304052;Cirurgia de esterilização feminina (laqueadura tubárica laparoscópica);10/04/2017;;09/07/2017
31304060;Neossalpingostomia distal laparoscópica;13/02/2009;;15/10/2010
31304079;Recanalização tubária laparoscópica uni ou bilateral;13/02/2009;;15/10/2010
31304087;Salpingectomia uni ou bilateral laparoscópica;13/02/2009;;15/10/2010
31304095;Implante de dispositivo intratubário não hormonal;26/05/2014;;31/08/2014
31305016;Ooforectomia uni ou bilateral ou ooforoplastia uni ou bilateral;13/02/2009;;15/10/2010
31305024;Translocação de ovários;13/02/2009;;15/10/2010
31305032;Ooforectomia laparoscópica uni ou bilateral ou ooforoplastia uni ou bilateral;13/02/2009;;15/10/2010
31306012;Correção de defeito lateral;13/02/2009;;15/10/2010
31306020;Correção de enterocele;13/02/2009;;15/10/2010
31306039;Correção de rotura perineal de III  grau  (com lesão  do  esfincter)  e  reconstituição  por  plástica - qualquer técnica;13/02/2009;;15/10/2010
31306047;Perineorrafia (não obstétrica) e/ou episiotomia e/ou episiorrafia;13/02/2009;;15/10/2010
31306055;Reconstrução perineal com retalhos miocutâneos;13/02/2009;;15/10/2010
31306063;Ressecção de tumor do septo reto-vaginal;13/02/2009;;15/10/2010
31306071;Seio urogenital - plástica;13/02/2009;;15/10/2010
31306080;Retração cicraticial perineal;09/09/2010;;15/10/2010
31307019;Câncer de ovário (Debulking);13/02/2009;;15/10/2010
31307027;Cirurgia (via alta  ou  baixa)  do  prolápso  de  cúpula  vaginal (fixação  sacral  ou  no  ligamento sacro-espinhoso) qualquer técnica;13/02/2009;;15/10/2010
31307035;Culdoplastia (Mac Call, Moschowicz, etc.);13/02/2009;;15/10/2010
31307043;Endometriose peritonial - tratamento cirúrgico;13/02/2009;;15/10/2010
31307051;Epiploplastia ou aplicação de membranas antiaderentes;13/02/2009;;15/10/2010
31307060;Laparoscopia ginecológica com ou sem biópsia (inclui a cromotubagem);13/02/2009;;15/10/2010
31307078;Liberação de aderências pélvicas com ou sem ressecção de cistos peritoniais ou salpingólise;13/02/2009;;15/10/2010
31307086;Ligadura de veia ovariana;13/02/2009;;15/10/2010
31307094;Ligamentopexia pélvica;13/02/2009;;15/10/2010
31307108;Neurectomia pré-sacral ou do nervo gênito-femoral;13/02/2009;;15/10/2010
31307116;Omentectomia;13/02/2009;;15/10/2010
31307124;Ressecção de tumor de parede abdominal pélvica;13/02/2009;;15/10/2010
31307132;Ressecção ou ligadura de varizes pélvicas;13/02/2009;;15/10/2010
31307140;Secção de ligamentos útero-sacros;13/02/2009;;15/10/2010
31307159;Câncer de ovário (Debulking) laparoscópica;13/02/2009;;15/10/2010
31307167;Cirurgia laparoscópica do prolapso de cúpula vaginal (fixação sacral ou no ligamento sacro-espinhoso);13/02/2009;;15/10/2010
31307175;Culdoplastia laparoscópica (Mac Call, Moschowicz, etc);13/02/2009;;15/10/2010
31307183;Endometriose peritoneal - tratamento cirúrgico via laparoscópica;13/02/2009;;15/10/2010
31307191;Epiploplastia ou aplicação de membranas antiaderentes via laparoscópica;13/02/2009;;15/10/2010
31307205;Liberação laparoscópica de aderências pélvicas com ou sem ressecção de cistos peritoneais ou salpingólise;13/02/2009;;15/10/2010
31307213;Ligadura de veia ovariana laparoscópica;13/02/2009;;15/10/2010
31307221;Ligamentopexia pélvica laparoscópica;13/02/2009;;15/10/2010
31307230;Neurectomia laparoscópica pré-sacral ou do nervo gênito-femoral;13/02/2009;;15/10/2010
31307248;Omentectomia laparoscópica;13/02/2009;;15/10/2010
31307256;Ressecção laparoscópica de tumor de parede abdominal;13/02/2009;;15/10/2010
31307264;Ressecção ou ligadura laparoscópica de varizes pélvicas;13/02/2009;;15/10/2010
31307272;Secção laparoscópica de ligamentos útero-sacros;13/02/2009;;15/10/2010
31307280;Endometriose  - tratamento cirúrgico via laparoscópica;01/12/2013;;31/08/2014
31308015;Aspiração de folículos para fertilização;13/02/2009;;15/10/2010
31308023;GIFT (transferência de gametas para as trompas);13/02/2009;;15/10/2010
31308031;Inseminação artificial;13/02/2009;;15/10/2010
31308040;Transferência de embrião para o útero;13/02/2009;;15/10/2010
31309011;Amniorredução ou amnioinfusão;13/02/2009;;15/10/2010
31309020;Aspiração manual intra-uterina (AMIU) pós-abortamento;13/02/2009;;15/10/2010
31309038;Assistência ao trabalho de parto, por hora (até o limite de 6 horas). Não deverá ser considerado se o parto ocorrer na primeira hora após o início da assistência. Após a primeira hora, além da assistência, remunera-se o parto (via baixa ou cesariana).;13/02/2009;;15/10/2010
31309046;Cerclagem do colo uterino (qualquer técnica);13/02/2009;;15/10/2010
31309054;Cesariana;13/02/2009;;15/10/2010
31309062;Curetagem pós-abortamento;13/02/2009;;15/10/2010
31309070;Derivações em cirurgia fetal;13/02/2009;31/08/2014;15/10/2010
31309089;Gravidez  ectópica - cirurgia;13/02/2009;;15/10/2010
31309097;Maturação cervical para indução de abortamento ou de trabalho de parto;13/02/2009;;15/10/2010
31309100;Inversão uterina aguda - redução manual;13/02/2009;;15/10/2010
31309119;Inversão uterina - tratamento cirúrgico;13/02/2009;;15/10/2010
31309127;Parto (via vaginal);13/02/2009;;15/10/2010
31309135;Parto múltiplo (cada um subsequente ao inicial);13/02/2009;;15/10/2010
31309143;Punção escalpofetal para avaliação PH fetal;13/02/2009;;15/10/2010
31309151;Revisão obstétrica de parto ocorrido fora do hospital (inclui exame, dequitação e sutura de lacerações até de 2º grau);13/02/2009;;15/10/2010
31309178;Versão cefálica externa;13/02/2009;;15/10/2010
31309186;Gravidez ectópica - cirurgia laparoscópica;13/02/2009;;15/10/2010
31309194;Inversão uterina - tratamento cirúrgico laparoscópico;13/02/2009;;15/10/2010
31309208;Cesariana com histerectomia;13/02/2009;;15/10/2010
31309216;Cirurgia fetal guiada por ultrassonografia;26/05/2014;;31/08/2014
31309224;Cirurgia fetal endoscópica (guiada por ultrassonografia e fetoscópio);26/05/2014;;31/08/2014
31309232;Intervenção do obstetra na cirurgia fetal a céu aberto;26/05/2014;;31/08/2014
31309259;Amniodrenagem ou amnioinfusão guiadas por ultrassonografia;26/05/2014;;31/08/2014
31401015;Biópsia estereotáxica de encéfalo;13/02/2009;;15/10/2010
31401023;Cingulotomia ou capsulotomia unilateral;13/02/2009;;15/10/2010
31401031;Cirurgia intracraniana por via endoscópica;13/02/2009;;15/10/2010
31401040;Craniotomia para remoção de corpo estranho;13/02/2009;;15/10/2010
31401058;Derivação ventricular externa;13/02/2009;;15/10/2010
31401066;Drenagem estereotáxica - cistos, hematomas ou abscessos;13/02/2009;;15/10/2010
31401074;Hipofisectomia por qualquer método;13/02/2009;;15/10/2010
31401082;Implante de cateter intracraniano;13/02/2009;;15/10/2010
31401090;Implante de eletrodo cerebral profundo;13/02/2009;;15/10/2010
31401104;Implante de eletrodos cerebral ou medular;13/02/2009;;15/10/2010
31401112;Implante estereotáxico de cateter para braquiterapia;13/02/2009;;15/10/2010
31401120;Implante intratecal de bombas para infusão de fármacos;13/02/2009;;15/10/2010
31401139;Localização estereotáxica de corpo estranho intracraniano com remoção;13/02/2009;;15/10/2010
31401147;Localização estereotáxica de lesões intracranianas com remoção;13/02/2009;;15/10/2010
31401155;Microcirurgia para tumores intracranianos;13/02/2009;;15/10/2010
31401163;Microcirurgia por via transesfenoidal;13/02/2009;;15/10/2010
31401171;Microcirurgia vascular intracraniana;13/02/2009;;15/10/2010
31401198;Punção subdural ou ventricular transfontanela;13/02/2009;;15/10/2010
31401201;Ressecção de mucocele frontal;13/02/2009;;15/10/2010
31401228;Revisão de sistema de neuroestimulação;13/02/2009;;15/10/2010
31401236;Sistema de derivação ventricular interna com válvulas ou revisões;13/02/2009;;15/10/2010
31401244;Terceiro ventriculostomia;13/02/2009;;15/10/2010
31401252;Tratamento cirúrgico da epilepsia;13/02/2009;;15/10/2010
31401260;Tratamento cirúrgico da fístula liquórica;13/02/2009;;15/10/2010
31401279;Tratamento cirúrgico da meningoencefalocele;13/02/2009;;15/10/2010
31401287;Tratamento cirúrgico de tumores cerebrais sem microscopia;13/02/2009;;15/10/2010
31401295;Tratamento cirúrgico do abscesso encefálico;13/02/2009;;15/10/2010
31401309;Tratamento cirúrgico do hematoma intracraniano;13/02/2009;;15/10/2010
31401333;Tratamento pré-natal das hidrocefalias e cistos cerebrais;13/02/2009;;15/10/2010
31401341;Acesso endoscópico ao tratamento cirúrgico dos tumores da região selar;13/02/2009;;15/10/2010
31401350;Implantação de halo para radiocirurgia;13/02/2009;;15/10/2010
31401368;Craniectomia para tumores cerebelares;13/02/2009;;15/10/2010
31401376;Craniotomia exploradora com ou sem biópsia;13/02/2009;;15/10/2010
31401384;Traumatismo cranioencefálico - tratamento cirúrgico;13/02/2009;;15/10/2010
31401392;Trepanação para propedêutica neurocirúrgica;13/02/2009;;15/10/2010
31401406;Tumores extracranianos - tratamento cirúrgico;13/02/2009;;15/10/2010
31402011;Cordotomia-mielotomias por radiofrequência;13/02/2009;;15/10/2010
31402020;Lesão de substância gelatinosa medular (DREZ) por radiofrequência;13/02/2009;;15/10/2010
31402038;Tampão sanguíneo peridural para tratamento de cefaléia após punção (não indicada na profilaxia da cefaléia);13/02/2009;;15/10/2010
31403018;Biópsia de nervo;13/02/2009;;15/10/2010
31403026;Bloqueio de nervo periférico - nervos periféricos;13/02/2009;;15/10/2010
31403034;Denervação percutânea de faceta articular - por segmento;13/02/2009;;15/10/2010
31403042;Enxerto de nervo;13/02/2009;;15/10/2010
31403050;Enxerto de nervo interfascicular, pediculado (1º estágio);13/02/2009;;15/10/2010
31403069;Enxerto de nervo interfascicular, pediculado (2º estágio);13/02/2009;;15/10/2010
31403077;Enxerto interfascicular de nervo vascularizado;13/02/2009;;15/10/2010
31403085;Enxerto interfascicular;13/02/2009;;15/10/2010
31403093;Enxerto para reparo de 2 ou mais nervos;13/02/2009;;15/10/2010
31403107;Excisão de tumores de nervos periféricos com enxerto interfascicular;13/02/2009;;15/10/2010
31403115;Excisão de tumores dos nervos periféricos;13/02/2009;;15/10/2010
31403123;Exploração cirúrgica de nervo (neurólise externa);13/02/2009;;15/10/2010
31403131;Extirpação de neuroma;13/02/2009;;15/10/2010
31403140;Implante de gerador para neuroestimulação;13/02/2009;;15/10/2010
31403158;Lesão de nervos associada à lesão óssea - tratamento cirúrgico;13/02/2009;;15/10/2010
31403166;Lesão estereotáxica de estruturas profundas para tratamento da dor ou movimento anormal;13/02/2009;;15/10/2010
31403174;Microcirurgia do plexo braquial com a exploração, neurólise e enxertos interfasciculares para reparo das lesões;13/02/2009;;15/10/2010
31403182;Microcirurgia do plexo braquial com exploração e neurólise;13/02/2009;;15/10/2010
31403204;Microneurólise intraneural ou intrafascicular de um nervo;13/02/2009;;15/10/2010
31403212;Microneurólise intraneural ou intrafascicular de dois ou mais nervos;13/02/2009;;15/10/2010
31403220;Microneurólise múltiplas;13/02/2009;;15/10/2010
31403239;Microneurólise única;13/02/2009;;15/10/2010
31403255;Microneurorrafia de dedos da mão;13/02/2009;;15/10/2010
31403263;Microneurorrafia múltipla (plexo nervoso);13/02/2009;;15/10/2010
31403271;Microneurorrafia única;13/02/2009;;15/10/2010
31403280;Neurólise das síndromes compressivas;13/02/2009;;15/10/2010
31403298;Neurotripsia (cada extremidade);13/02/2009;;15/10/2010
31403301;Reposição de fármaco(s) em bombas implantadas;13/02/2009;;15/10/2010
31403310;Ressecção de neuroma;13/02/2009;;15/10/2010
31403328;Revisão de sistema implantados para infusão de fármacos;13/02/2009;;15/10/2010
31403336;Rizotomia percutânea por segmento - qualquer método;13/02/2009;;15/10/2010
31403344;Simpatectomia;13/02/2009;;15/10/2010
31403352;Transposição de nervo;13/02/2009;;15/10/2010
31403360;Tratamento microcirúrgico das neuropatias compressivas (tumoral, inflamatório, etc);13/02/2009;;15/10/2010
31403379;Simpatectomia por videotoracoscopia;13/02/2009;;15/10/2010
31403387;Neurotomia;13/02/2009;;15/10/2010
31404014;Descompressão vascular de nervos cranianos;13/02/2009;;15/10/2010
31404022;Neurotomia seletiva do trigêmio;13/02/2009;;15/10/2010
31404030;Tratamento de nevralgia do trigêmio por técnica cirúrgica percutânea - qualquer método (quando orientado por imagem, cobrar código correspondente);09/09/2010;;15/10/2010
31405010;Bloqueio do sistema nervoso autônomo;13/02/2009;;15/10/2010
31405029;Tratamento cirúrgico de lesão do sistema nervoso autônomo - qualquer método;13/02/2009;;15/10/2010
31405037;Tratamento cirúrgico da síndrome do desfiladeiro cérvico torácico;13/02/2009;;15/10/2010
31501010;Transplante de córnea;13/02/2009;09/04/2017;15/10/2010
31501010;Transplante penetrante da córnea;10/04/2017;;09/07/2017
31501028;Retirada para transplante - córnea;13/02/2009;;15/10/2010
31502016;Transplante cardíaco (doador);13/02/2009;;15/10/2010
31502024;Transplante cardíaco (receptor);13/02/2009;;15/10/2010
31503012;Transplante cardiopulmonar (doador);13/02/2009;;15/10/2010
31503020;Transplante cardiopulmonar (receptor);13/02/2009;;15/10/2010
31504019;Transplante pulmonar (doador);13/02/2009;;15/10/2010
31504027;Transplante pulmonar unilateral (receptor);13/02/2009;;15/10/2010
31505015;Transplante hepático (receptor);13/02/2009;;15/10/2010
31505023;Transplante hepático (doador);13/02/2009;;15/10/2010
31506011;Transplante renal (receptor);13/02/2009;;15/10/2010
31506038;Nefrectomia em doador vivo - para transplante;13/02/2009;;15/10/2010
31506046;Nefrectomia laparoscópica em doador vivo - para transplante;13/02/2009;;15/10/2010
31507018;Transplante pancreático (receptor);13/02/2009;;15/10/2010
31507026;Transplante pancreático (doador);13/02/2009;;15/10/2010
31601014;Acupuntura por sessão;13/02/2009;;15/10/2010
31602010;Analgesia controlada pelo paciente - por dia subsequente;13/02/2009;;15/10/2010
31602029;Analgesia por dia subsequente. Acompanhamento de analgesia por cateter peridural;13/02/2009;;15/10/2010
31602037;Anestesia geral ou condutiva para realização de bloqueio neurolítico;13/02/2009;;15/10/2010
31602045;Bloqueio anestésico de nervos cranianos;13/02/2009;;15/10/2010
31602053;Bloqueio anestésico de plexo celíaco;13/02/2009;;15/10/2010
31602061;Bloqueio anestésico de simpático lombar;13/02/2009;;15/10/2010
31602070;Bloqueio anestésico simpático;13/02/2009;;15/10/2010
31602088;Bloqueio de articulação têmporo-mandibular;13/02/2009;;15/10/2010
31602096;Bloqueio de gânglio estrelado com anestésico local;13/02/2009;;15/10/2010
31602100;Bloqueio de gânglio estrelado com neurolítico;13/02/2009;;15/10/2010
31602118;Bloqueio de nervo periférico - bloqueios anestésicos de nervos e estímulos neurovasculares;13/02/2009;;15/10/2010
31602126;Bloqueio facetário para-espinhoso;13/02/2009;;15/10/2010
31602134;Bloqueio neurolítico de nervos cranianos ou cérvico-torácico;13/02/2009;;15/10/2010
31602142;Bloqueio neurolítico do plexo celíaco, simpático lombar ou torácico;13/02/2009;;15/10/2010
31602150;Bloqueio neurolítico peridural ou subaracnóideo;13/02/2009;;15/10/2010
31602169;Bloqueio peridural ou subaracnóideo com corticóide;13/02/2009;;15/10/2010
31602177;Bloqueio simpático por via venosa;13/02/2009;;15/10/2010
31602185;Estimulação elétrica transcutânea;13/02/2009;;15/10/2010
31602207;Instalação de bomba de infusão para analgesia em dor aguda ou crônica, por qualquer via;13/02/2009;;15/10/2010
31602215;Laser - por sessão;13/02/2009;;15/10/2010
31602223;Passagem de catéter peridural ou subaracnóideo com bloqueio de prova;13/02/2009;;15/10/2010
31602231;Anestesia para endoscopia diagnóstica;13/02/2009;;15/10/2010
31602240;Anestesia para endoscopia intervencionista;13/02/2009;;15/10/2010
31602258;Anestesia para exames radiológicos de angiorradiologia;13/02/2009;;15/10/2010
31602266;Anestesia para exames de ultrassonografia;13/02/2009;;15/10/2010
31602274;Anestesia para exames de tomografia computadorizada ;13/02/2009;;15/10/2010
31602282;Anestesia para exames de ressonância magnética ;13/02/2009;;15/10/2010
31602290;Anestesia para procedimentos de radioterapia;13/02/2009;;15/10/2010
31602304;Anestesia para exames específicos, teste para diagnóstico e outros procedimentos diagnósticos;13/02/2009;;15/10/2010
31602312;Anestesia para procedimentos clínicos ambulatoriais e hospitalares;13/02/2009;;15/10/2010
31602320;Anestesia para procedimentos de medicina nuclear;10/10/2012;;31/08/2014
31602339;Bloqueio anestésico de plexos nervosos (lombossacro, braquial, cervical) para tratamento de dor;10/10/2012;;31/08/2014
40101010;ECG convencional de até 12 derivações;13/02/2009;;15/10/2010
40101029;ECG de alta resolução;13/02/2009;;15/10/2010
40101037;Teste ergométrico computadorizado (inclui ECG basal convencional);13/02/2009;;15/10/2010
40101045;Teste ergométrico convencional - 3 ou mais derivações simultâneas (inclui ECG basal convencional);13/02/2009;;15/10/2010
40101053;Variabilidade da frequência cardíaca;13/02/2009;;15/10/2010
40101061;Ergoespirometria ou teste cardiopulmonar de exercício completo (espirometria forçada, consumo de O2, produção de CO2 e derivados, ECG, oximetria);13/02/2009;;15/10/2010
40102017;Bilimetria gástrica ou esofágica de 24 horas;13/02/2009;;15/10/2010
40102025;Manometria computadorizada anorretal;13/02/2009;;15/10/2010
40102033;Manometria computadorizada anorretal para biofeedback - 1ª sessão;13/02/2009;;15/10/2010
40102041;Manometria computadorizada anorretal para biofeedback - demais sessões;13/02/2009;;15/10/2010
40102050;Manometria esofágica computadorizada com teste provocativo;13/02/2009;;15/10/2010
40102068;Manometria esofágica computadorizada sem teste provocativo;13/02/2009;;15/10/2010
40102076;Manometria esofágica para localização dos esfíncteres pré-pH-metria;13/02/2009;;15/10/2010
40102084;pH-metria esofágica computadorizada com um canal;13/02/2009;;15/10/2010
40102092;pH-metria esofágica computadorizada com dois canais;13/02/2009;;15/10/2010
40102106;pH-metria esofágica computadorizada com três canais;13/02/2009;;15/10/2010
40102114;Impedâncio pH-metria esofágica;10/10/2012;;31/08/2014
40102122;pH-metria gástrica de 24 horas com quatro canais;10/10/2012;;31/08/2014
40102130;pH-metria esofágica de 24 horas com quatro canais;10/10/2012;;31/08/2014
40102149;Manometria Biliar;10/10/2012;;31/08/2014
40103013;Análise computadorizada da voz;13/02/2009;;15/10/2010
40103021;Análise computadorizada de papila e/ou fibras nervosas - monocular (GDX);13/02/2009;;15/10/2010
40103030;Análise computadorizada do segmento anterior - monocular;13/02/2009;;15/10/2010
40103048;Audiometria (tipo Von Bekesy);13/02/2009;;15/10/2010
40103056;Potencial evocado estacionário (Steady State);13/02/2009;;15/10/2010
40103064;Audiometria de tronco cerebral (PEA) BERA;13/02/2009;;15/10/2010
40103072;Audiometria tonal limiar com testes de discriminação;13/02/2009;;15/10/2010
40103080;Audiometria tonal limiar infantil condicionada (qualquer técnica) - Peep-show;13/02/2009;;15/10/2010
40103099;Audiometria vocal - pesquisa de limiar de discriminação;13/02/2009;;15/10/2010
40103102;Audiometria vocal - pesquisa de limiar de inteligibilidade;13/02/2009;;15/10/2010
40103110;Audiometria vocal com mensagem competitiva (SSI, SSW);13/02/2009;;15/10/2010
40103129;Avaliação neurofisiológica  da função  sexual (inclui eletroneuromiografia de MMII, RBC, NCDP, PEGC);13/02/2009;;15/10/2010
40103137;Campimetria computadorizada - monocular;13/02/2009;;15/10/2010
40103145;Variação de contingente negativo (PE/Tardio);13/02/2009;;15/10/2010
40103153;Craniocorporografia;13/02/2009;;15/10/2010
40103161;Decay do reflexo estapédico;13/02/2009;;15/10/2010
40103170;EEG de rotina;13/02/2009;;15/10/2010
40103188;EEG intra-operatório para monitorização cirúrgica (EEG/IO) - por hora de monitorização;13/02/2009;;15/10/2010
40103196;EEGQ quantitativo (mapeamento cerebral);13/02/2009;;15/10/2010
40103200;Eletrencefalograma especial: terapia intensiva, morte encefálica, EEG prolongado (até 2 horas);13/02/2009;;15/10/2010
40103234;Eletrencefalograma em vigília, e sono espontâneo ou induzido;13/02/2009;;15/10/2010
40103242;Eletro-oculografia - monocular;13/02/2009;;15/10/2010
40103250;Eletro-retinografia - monocular;13/02/2009;;15/10/2010
40103269;Eletrococleografia (Ecochg);13/02/2009;;15/10/2010
40103277;Eletrocorticografia intra-operatória (ECOG) - por hora de monitorização;13/02/2009;;15/10/2010
40103285;Eletroglotografia;13/02/2009;;15/10/2010
40103307;Eletroneuromiografia (velocidade de condução) testes de estímulos para paralisia facial;13/02/2009;;15/10/2010
40103315;Eletroneuromiografia de MMII;13/02/2009;;15/10/2010
40103323;Eletroneuromiografia de MMSS;13/02/2009;;15/10/2010
40103331;Eletroneuromiografia de MMSS e MMII;13/02/2009;;15/10/2010
40103340;Eletroneuromiografia de segmento complementar;13/02/2009;;15/10/2010
40103358;Eletroneuromiografia de segmento especial;13/02/2009;;15/10/2010
40103366;Eletroneuromiografia genitoperineal;13/02/2009;;15/10/2010
40103374;"EMG com registro de movimento involuntário (teste dinâmico de escrita; estudo funcional de tremores)";13/02/2009;;15/10/2010
40103382;EMG para monitoração de quimodenervação (por sessão);13/02/2009;;15/10/2010
40103390;EMG quantitativa ou EMG de fibra única;13/02/2009;;15/10/2010
40103404;Espectrografia vocal;13/02/2009;;15/10/2010
40103412;Gustometria;13/02/2009;;15/10/2010
40103420;Imitanciometria de alta frequência;13/02/2009;;15/10/2010
40103439;Impedanciometria;13/02/2009;09/04/2017;15/10/2010
40103439;Impedanciometria - timpanometria;10/04/2017;;09/07/2017
40103447;Método de Proetz (por sessão);13/02/2009;;15/10/2010
40103455;Otoemissões acústicas produto de distorção;13/02/2009;;15/10/2010
40103463;Otoemissões evocadas transientes;13/02/2009;;15/10/2010
40103471;Perimetria com scanning laser ophthalmoscope - monocular;13/02/2009;;15/10/2010
40103480;Pesquisa de pares cranianos relacionados com o VIII PAR;13/02/2009;;15/10/2010
40103498;Potencial evocado auditivo de tronco cerebral (PEA-TC);13/02/2009;;15/10/2010
40103501;Pesquisa do fenômeno de Tullio;13/02/2009;;15/10/2010
40103510;Poligrafia de recém-nascido (maior ou igual 2 horas) (PG/RN);13/02/2009;;15/10/2010
40103528;Polissonografia de noite inteira (PSG) (inclui polissonogramas);13/02/2009;;15/10/2010
40103536;Polissonograma com EEG de noite inteira;13/02/2009;;15/10/2010
40103544;Polissonograma com teste de CPAP nasal;13/02/2009;31/12/2015;15/10/2010
40103544;Polissonograma com teste de CPAP/BIPAP nasal;01/01/2016;;31/03/2016
40103552;Posturografia;13/02/2009;;15/10/2010
40103560;Potencial evocado - P300;13/02/2009;;15/10/2010
40103579;Potencial evocado auditivo de média latência (PEA-ML) bilateral;13/02/2009;;15/10/2010
40103587;Potencial somato-sensitivo para localização funcional da área central (monitorização por hora) até 3 horas;13/02/2009;;15/10/2010
40103595;Potencial evocado gênito-cortical (PEGC);13/02/2009;;15/10/2010
40103609;Potencial evocado motor - PEM (bilateral);13/02/2009;;15/10/2010
40103617;Potencial evocado somato-sensitivo - membros inferiores (PESS);13/02/2009;;15/10/2010
40103625;Potencial evocado somato-sensitivo - membros superiores (PESS);13/02/2009;;15/10/2010
40103633;Potencial evocado visual (PEV);13/02/2009;;15/10/2010
40103641;Provas de função tubária;13/02/2009;;15/10/2010
40103650;Registro do nistagmo pendular;13/02/2009;;15/10/2010
40103668;Rinomanometria computadorizada;13/02/2009;;15/10/2010
40103676;Rinometria acústica;13/02/2009;;15/10/2010
40103684;Reflexo cutâneo-simpático;13/02/2009;;15/10/2010
40103714;Teste de estimulação repetitiva (um ou mais músculos);13/02/2009;;15/10/2010
40103722;Teste de fístula perilinfática com eletronistagmografia;13/02/2009;;15/10/2010
40103730;Teste de latências múltiplas de sono (TLMS) diurno pós PSG;13/02/2009;;15/10/2010
40103749;Vectoeletronistagmografia - computadorizada;13/02/2009;;15/10/2010
40103757;Vídeo-eletrencefalografia contínua não invasiva - 12 horas (vídeo EEG/NT);13/02/2009;;15/10/2010
40103765;Videonistagmografia infravermelha;13/02/2009;;15/10/2010
40103781;Audiometria ocupacional ou de seleção;13/02/2009;;15/10/2010
40103790;Audiometrias de altas frequências;13/02/2009;;15/10/2010
40103803;Avaliação da função auditiva central;13/02/2009;;15/10/2010
40103811;Eletrodiagnóstico;13/02/2009;;15/10/2010
40103820;Pesquisa do nistagmo optocinético;13/02/2009;;15/10/2010
40103838;Prova de Doerfler-Stewart;13/02/2009;;15/10/2010
40103846;Prova de Stenger;13/02/2009;;15/10/2010
40103854;Teste de Fowler;13/02/2009;;15/10/2010
40103862;Eletroencefalograma com eletrodos especiais;10/10/2012;;31/08/2014
40103870;Potencial evocado do nervo trigêmeo;10/10/2012;;31/08/2014
40103889;Processamento auditivo central infantil (de 3 a 7 anos);10/10/2012;;31/08/2014
40103897;Processamento auditivo central (a partir dos 7 anos e adulto);10/10/2012;;31/08/2014
40104010;Avaliação muscular por dinamometria computadorizada (isocinética) - por articulação;13/02/2009;;15/10/2010
40104028;Cronaximetria;13/02/2009;;15/10/2010
40104036;Curva  I/T - medida de latência de nervo periférico;13/02/2009;;15/10/2010
40104044;Ergotonometria músculo-esquelético (tetra, paraparesia e hemiparesia);13/02/2009;;15/10/2010
40104125;Sistema tridimensional de avaliação do movimento que inclui vídeo acoplado à plataforma da força e eletromiografia;13/02/2009;;15/10/2010
40105016;Determinação das pressões respiratórias máximas;13/02/2009;;15/10/2010
40105024;Determinação dos volumes pulmonares por diluição de gases;13/02/2009;;15/10/2010
40105032;Determinação dos volumes pulmonares por pletismografia;13/02/2009;;15/10/2010
40105040;Medida da difusão do monóxido de carbono;13/02/2009;;15/10/2010
40105059;Medida de pico de fluxo expiratório;13/02/2009;;15/10/2010
40105067;Medida seriada por 3 semanas do pico de fluxo expiratório;13/02/2009;;15/10/2010
40105075;Prova de função pulmonar completa (ou espirometria);13/02/2009;;15/10/2010
40105083;Resistência das vias aéreas por oscilometria;13/02/2009;;15/10/2010
40105091;Resistência das vias aéreas por pletismografia;13/02/2009;;15/10/2010
40105105;Espirografia Simples - capacidade vital lenta;13/02/2009;;15/10/2010
40105113;Regulação ventilatória - 1) medida de ventilação e do padrão ventilatório;13/02/2009;;15/10/2010
40105121;Regulação ventilatória - 2) determinação da pressão de oclusão;13/02/2009;;15/10/2010
40105130;Regulação ventilatória - 3) resposta a hipoxia e hipercapnia;13/02/2009;;15/10/2010
40105148;Espirometria;10/10/2012;;31/08/2014
40201015;Amnioscopia;13/02/2009;;15/10/2010
40201023;Anuscopia (interna e externa);13/02/2009;;15/10/2010
40201031;Broncoscopia com biópsia transbrônquica;13/02/2009;;15/10/2010
40201058;Broncoscopia com ou sem aspirado ou lavado brônquico bilateral;13/02/2009;;15/10/2010
40201066;Cistoscopia e/ou uretroscopia;13/02/2009;;15/10/2010
40201074;Colangiopancreatografia retrógrada endoscópica;13/02/2009;;15/10/2010
40201082;Colonoscopia (inclui a retossigmoidoscopia);13/02/2009;;15/10/2010
40201090;Colonoscopia com magnificação;13/02/2009;;15/10/2010
40201104;Ecoendoscopia alta;13/02/2009;;15/10/2010
40201112;Ecoendoscopia baixa;13/02/2009;;15/10/2010
40201120;Endoscopia digestiva alta;13/02/2009;;15/10/2010
